Subject BgtA AgtB B A BgtPRE PREgtB AgtPRE PREgtA PRE
1001 	-0.8090430508  	0.8090430508  	-1.368652067  	-1.077733073  	-0.294219279  	0.294219279  	-0.06377784418  	0.06377784418  	-0.5756062044  
1002 	0.4491870953  	-0.4491870953  	0.6084382771  	0.3416765614  	0.282108909  	-0.282108909  	0.1271441022  	-0.1271441022  	0.08708890067  
1003 	-1.260840164  	1.260840164  	-1.635035371  	-0.8701800277  	-0.3314305013  	0.3314305013  	0.3542765813  	-0.3542765813  	-1.05974852  
1006 	2.158864336  	-2.158864336  	1.72297843  	0.4078840557  	0.6883530095  	-0.6883530095  	-0.5168108556  	0.5168108556  	0.8572258321  
1022 	1.173708897  	-1.173708897  	0.4201757786  	-0.3041323677  	0.6307253771  	-0.6307253771  	-0.2509325043  	0.2509325043  	-0.09982798761  
1023 	-0.8121915487  	0.8121915487  	-1.247858465  	-0.7951140186  	-1.687903578  	1.687903578  	-1.338042096  	1.338042096  	0.7951320665  
1029 	0.09460907257  	-0.09460907257  	-2.481289352  	-2.389872401  	0.7765664479  	-0.7765664479  	0.6784563869  	-0.6784563869  	-3.053002197  
1031 	-0.825838182  	0.825838182  	-1.157483985  	-0.7436437107  	-1.987794203  	1.987794203  	-1.548430914  	1.548430914  	0.8089059335  
1034 	0.4932373723  	-0.4932373723  	-0.2063767016  	-0.4160773326  	-1.662710857  	1.662710857  	-1.852898314  	1.852898314  	1.340716901  
1036 	-3.430879361  	3.430879361  	0.4047764572  	2.113234857  	-1.480371766  	1.480371766  	-0.1740481012  	0.1740481012  	1.499095425  
1038 	1.403273985  	-1.403273985  	-0.7441699164  	-1.331718211  	-1.440895737  	1.440895737  	-1.928922637  	1.928922637  	0.537088983  
1039 	1.050729481  	-1.050729481  	0.06015135079  	-0.411194652  	-1.669265874  	1.669265874  	-1.892072056  	1.892072056  	1.655520766  
1040 	2.117560936  	-2.117560936  	0.497246088  	-0.6651991341  	0.7770665555  	-0.7770665555  	-0.0624396221  	0.0624396221  	-0.4993602575  
1043 	1.175018215  	-1.175018215  	0.4539147652  	-0.2196513717  	1.759721947  	-1.759721947  	1.224595295  	-1.224595295  	-1.435837514  
1048 	-0.8255637925  	0.8255637925  	0.3264613907  	0.7508236021  	-0.7307107328  	0.7307107328  	-0.1027946948  	0.1027946948  	0.9247278534  
1049 	0.7571501178  	-0.7571501178  	-0.3398604089  	-0.6853967957  	-1.44747977  	1.44747977  	-1.609744306  	1.609744306  	1.095703971  
1051 	-2.720053725  	2.720053725  	-2.388266791  	-1.104028828  	-0.3890321635  	0.3890321635  	0.9796687813  	-0.9796687813  	-1.776163216  
1053 	-0.7740878437  	0.7740878437  	0.4917458998  	0.9287365542  	1.686330284  	-1.686330284  	2.187090524  	-2.187090524  	-0.8679147353  
1056 	1.289918159  	-1.289918159  	-1.140988918  	-1.581607252  	-2.08398852  	2.08398852  	-2.431817921  	2.431817921  	1.283422208  
1060 	-0.4323749684  	0.4323749684  	0.4031719713  	0.6423200902  	0.007790456712  	-0.007790456712  	0.2371992381  	-0.2371992381  	0.3260914255  
1062 	-0.2311285143  	0.2311285143  	0.3650521244  	0.4637573333  	0.7394347714  	-0.7394347714  	0.8893858145  	-0.8893858145  	-0.2911151699  
