1001 	-0.9339801544  	-0.4678984409  	0.7051115197  
1002 	-0.1622440957  	-0.06097508742  	0.09039420341  
1003 	-0.1243743946  	-0.1239323129  	-0.1176237653  
1006 	-0.01946308405  	0.2026341807  	-0.04826802521  
1022 	-0.6978022855  	0.3500408989  	-1.029123994  
1023 	-0.3055770759  	1.387247103  	-1.345930323  
1029 	-1.053913561  	-1.274036437  	0.1796461183  
1031 	1.758389433  	1.005233374  	0.7012198251  
1034 	1.066691444  	1.640931569  	-1.237385386  
1036 	0.1741677852  	0.1543573866  	0.5467863067  
1038 	1.298635223  	0.1940683865  	1.869120813  
1039 	-1.568528636  	1.486673925  	-2.105252674  
1040 	0.4551727122  	0.439605104  	-0.1194634706  
1043 	0.7568192977  	-0.8332979837  	1.723351436  
1048 	-1.048315755  	-0.6684422035  	0.0578306492  
1049 	-1.072957415  	-0.4552515951  	0.8809071642  
1051 	-0.7170037089  	1.261289362  	-0.9843086506  
1053 	0.2182957422  	-0.7437094813  	1.181750923  
1056 	-0.1200582355  	0.1198099901  	-0.03338377892  
1060 	1.36930738  	0.5361926646  	0.7932703261  
1062 	-0.02823012809  	0.4129547364  	-0.04363741318  
1077 	1.227557991  	-0.4770320442  	1.242609992  
1080 	-0.6480533692  	-0.0388531984  	-0.3642713382  
1089 	-0.6415309621  	0.1723187415  	-0.3912237223  
1090 	-1.206144381  	1.458473753  	-2.081849905  
1097 	-1.661854456  	0.1984602374  	-0.718084115  
1098 	0.212042326  	-1.072958272  	1.452470209  
1101 	-0.253936462  	1.268995849  	-1.497310647  
1102 	-1.901235175  	-0.7348327549  	0.5171100126  
1105 	0.4108146018  	0.777323749  	-1.024103454  
1106 	-0.3677117809  	-0.2962489528  	0.4407915093  
1107 	-0.2731334023  	0.2970118046  	0.6685682606  
1115 	0.5533593407  	0.449033996  	-0.4222857782  
1116 	-0.9132835843  	0.08394547845  	-0.3540155636  
1117 	0.3721007633  	1.395399317  	-0.3100223111  
1118 	0.3441100443  	0.2427136766  	0.6454522694  
1119 	0.4220130888  	-0.06998398615  	0.2055521658  
1124 	1.270091343  	0.8661196729  	1.086502798  
1125 	1.129285802  	-0.2904682817  	1.090647363  
1127 	0.2823515749  	-1.274406912  	1.861532151  
1128 	-0.6293256686  	-0.03704006359  	-0.4039807461  
1134 	1.658959772  	0.05295803101  	0.7610617297  
1135 	-0.9064637381  	0.9607133634  	-1.122427901  
1136 	1.384001666  	0.8877306835  	0.5219082334  
1137 	1.303659023  	-1.100869787  	1.292187949  
1138 	1.164972158  	0.6987412815  	0.2244144968  
1139 	-0.04277128104  	0.1918322743  	0.1097686129  
1145 	-0.5382652943  	0.2752542906  	-0.4025527129  
1147 	-1.701538433  	-1.495522949  	-0.3635492194  
1148 	0.005050425778  	0.4081502577  	0.008302902352  
1150 	0.4330028036  	0.1499871988  	0.2702922787  
1151 	-1.019087941  	0.2167610026  	-1.343888152  
1152 	-2.223195771  	-1.443776673  	-0.7787596557  
1153 	-0.3310050334  	-0.3202367279  	0.4808579685  
1154 	1.301917365  	0.9507704143  	0.6691342208  
1158 	1.646027394  	1.445273997  	1.001624915  
1162 	-1.112956721  	1.414009062  	-1.961027455  
1166 	-0.02732866797  	0.5283708553  	0.1447626192  
1167 	-0.8344420048  	1.658003444  	-2.591187492  
1171 	-0.01330305379  	-0.003773920559  	0.4319449281  
1173 	0.1887016822  	-0.9204741599  	0.3886834422  
1175 	0.543175005  	0.4264523114  	0.4297991337  
1180 	-0.1461138474  	1.418237587  	-0.1565259356  
1181 	-0.8525296763  	-0.206482223  	0.2533453793  
1182 	0.3706456248  	0.02663226085  	0.6337664796  
1183 	-0.09872026607  	1.838357603  	-1.574811462  
1185 	-0.003145246314  	1.694896237  	-1.415242503  
1191 	-0.5851645051  	-1.846535472  	1.297736143  
1195 	-1.168791441  	0.386170318  	-0.7619328267  
1196 	-0.05260028134  	1.229388497  	-0.4648871886  
1197 	0.3505640022  	-0.1434401726  	1.023988855  
1202 	-0.2158862083  	0.6206113298  	-0.3946217823  
1203 	0.4465197705  	0.3917430722  	0.1788268898  
1205 	0.3172459044  	-1.731678751  	1.247519461  
1207 	-0.3057820032  	0.7797281295  	-0.2300503626  
1208 	-0.7420025517  	-0.1848871707  	-0.1835560395  
1212 	-0.1083212574  	0.1683186814  	-0.07568339244  
1214 	-0.6965691527  	-0.6646567926  	0.7105401839  
1215 	-0.3021440786  	-0.6917935032  	0.7313189618  
1216 	0.8645602638  	1.153771152  	-0.6576650745  
1218 	0.02930274644  	0.6090805947  	-0.7656676293  
1219 	-0.3956283999  	-0.4162161655  	-0.1854836579  
1222 	-0.4511089184  	-0.4560617288  	0.2692033415  
1226 	0.8553732118  	-0.7226748723  	1.38628455  
1227 	-0.9747795157  	0.2808658505  	-0.1244142254  
1228 	-0.2199761589  	0.2417190158  	0.2735035517  
1233 	-1.602527151  	0.3718680883  	-0.3719157816  
1237 	-0.282754324  	-0.09345335991  	0.1083991885  
1239 	-0.08422798969  	0.7311401862  	-0.5543448382  
1240 	0.1431592793  	-1.512053586  	1.540506207  
1241 	0.8962563429  	-1.899634805  	2.305456331  
1244 	-0.4884494026  	0.01663479294  	-0.336122823  
1245 	0.0268395052  	-2.238214217  	1.841652938  
1246 	-1.066655169  	1.030419901  	-1.670956481  
1248 	0.08195560804  	-0.7033992009  	0.7325031436  
1249 	2.984137937  	0.08889560715  	2.518931378  
1250 	-0.05969589309  	-0.07986533331  	-0.119391021  
1253 	-0.5323863909  	-0.5450514475  	-0.04709940453  
1256 	-0.6644659162  	-1.389978086  	0.8063910936  
1262 	-0.9692592084  	-1.088627795  	0.1630537709  
